#locus_tag	gene_name
PECH_000868	PECH_000868
PECH_000869	PECH_000869
PECH_000870	PECH_000870
PECH_000871	PECH_000871
PECH_000872	PECH_000872
PECH_000873	PECH_000873
PECH_000874	PECH_000874
PECH_000875	PECH_000875
PECH_000876	PECH_000876
PECH_000877	PECH_000877
PECH_000878	PECH_000878
PECH_000879	PECH_000879
PECH_000880	PECH_000880
PECH_000881	PECH_000881
PECH_000883	PECH_000883
PECH_000885	PECH_000885
PECH_000886	PECH_000886
PECH_000887	PECH_000887
PECH_000888	PECH_000888
PECH_000889	PECH_000889
PECH_000890	PECH_000890
PECH_000891	PECH_000891
PECH_000892	PECH_000892
PECH_000893	PECH_000893
PECH_000894	PECH_000894
PECH_000896	PECH_000896
PECH_000897	PECH_000897
PECH_000898	PECH_000898
PECH_000899	PECH_000899
PECH_000900	PECH_000900
PECH_000901	PECH_000901
PECH_000902	PECH_000902
PECH_000903	PECH_000903
PECH_000904	PECH_000904
PECH_000905	PECH_000905
PECH_000906	PECH_000906
PECH_000907	PECH_000907
PECH_000908	PECH_000908
PECH_000909	PECH_000909
PECH_000910	PECH_000910
PECH_000911	PECH_000911
PECH_000912	PECH_000912
PECH_000913	PECH_000913
PECH_000914	PECH_000914
PECH_000915	PECH_000915
PECH_000916	PECH_000916
PECH_000917	PECH_000917
PECH_000918	PECH_000918
PECH_000919	PECH_000919
PECH_000920	PECH_000920
PECH_000921	PECH_000921
PECH_000923	PECH_000923
PECH_000924	PECH_000924
PECH_000925	PECH_000925
PECH_000926	PECH_000926
PECH_000927	PECH_000927
PECH_000928	PECH_000928
PECH_000929	PECH_000929
PECH_000930	PECH_000930
PECH_000931	PECH_000931
PECH_000932	PECH_000932
PECH_000933	PECH_000933
PECH_000934	PECH_000934
PECH_000935	PECH_000935
PECH_000936	PECH_000936
PECH_000937	PECH_000937
PECH_000938	PECH_000938
PECH_000939	PECH_000939
PECH_000940	PECH_000940
PECH_000941	PECH_000941
PECH_000942	PECH_000942
PECH_000943	PECH_000943
PECH_000944	PECH_000944
PECH_000945	PECH_000945
PECH_000946	PECH_000946
PECH_000948	PECH_000948
PECH_000949	PECH_000949
PECH_000950	PECH_000950
PECH_000951	PECH_000951
PECH_000952	PECH_000952
PECH_000953	PECH_000953
PECH_000954	PECH_000954
PECH_000955	PECH_000955
PECH_000956	PECH_000956
PECH_000957	PECH_000957
PECH_000958	PECH_000958
PECH_000959	PECH_000959
PECH_000960	PECH_000960
PECH_000961	PECH_000961
PECH_000962	PECH_000962
PECH_000963	PECH_000963
PECH_000964	PECH_000964
PECH_000965	PECH_000965
PECH_000966	PECH_000966
PECH_000967	PECH_000967
PECH_000968	PECH_000968
PECH_000969	PECH_000969
PECH_000970	PECH_000970
PECH_000972	PECH_000972
PECH_000973	PECH_000973
PECH_000974	PECH_000974
PECH_000975	PECH_000975
PECH_000976	PECH_000976
PECH_000977	PECH_000977
