#tf_id	tg_id	regulatory_function
YAL051W	YLR079W	NaN
YAL051W	YMR175W	NaN
YAL051W	YGR195W	NaN
YAL051W	YOR154W	NaN
YAL051W	YDR088C	NaN
YAL051W	YGR081C	NaN
YAL051W	YER029C	NaN
YAL051W	YPR054W	NaN
YAL051W	YMR322C	NaN
YAL051W	YOR357C	NaN
YAL051W	YMR107W	NaN
YAL051W	YMR017W	NaN
YAL051W	YOR148C	NaN
YAL051W	YOR190W	NaN
YAL051W	YHR139C	NaN
YAL051W	YNL204C	NaN
YAL051W	YNL202W	NaN
YAL051W	YCL048W	NaN
YAL051W	YLR119W	NaN
YAL051W	YBL075C	NaN
YAL051W	YER103W	NaN
YAL051W	YHR066W	NaN
YAL051W	YPL092W	NaN
YAL051W	YDR160W	NaN
YAL051W	YDR536W	NaN
YAL051W	YPL163C	NaN
YAL051W	YPL016W	NaN
YAL051W	YPL129W	NaN
YAL051W	YGL112C	NaN
YAL051W	YMR227C	NaN
YAL051W	YML114C	NaN
YAL051W	YMR291W	NaN
YAL051W	YNL128W	NaN
YAL051W	YJR019C	NaN
YAL051W	YLR178C	NaN
YAL051W	YMR313C	NaN
YAL051W	YPL157W	NaN
YAL051W	YGR024C	NaN
YAL051W	YMR146C	NaN
YAL051W	YGR181W	NaN
YAL051W	YGR033C	NaN
YAL051W	YPL063W	NaN
YAL051W	YPR040W	NaN
YAL051W	YBR117C	NaN
YAL051W	YDL110C	NaN
YAL051W	YOR052C	NaN
YAL051W	YPR098C	NaN
YAL051W	YOR194C	NaN
YAL051W	YLR183C	NaN
YAL051W	YNL300W	NaN
YAL051W	YGL096W	NaN
YAL051W	YGR138C	NaN
YAL051W	YOR273C	NaN
YAL051W	YBR126C	NaN
YAL051W	YOL102C	NaN
YAL051W	YOR256C	NaN
YAL051W	YNR046W	NaN
YAL051W	YDL201W	NaN
YAL051W	YBR265W	NaN
YAL051W	YML124C	NaN
YAL051W	YBR166C	NaN
YAL051W	YER100W	NaN
YAL051W	YBR006W	NaN
YAL051W	YAR027W	NaN
YAL051W	YDR207C	NaN
YAL051W	YDR213W	NaN
YAL051W	YML093W	NaN
YAL051W	YEL040W	NaN
YAL051W	YGR065C	NaN
YAL051W	YOR332W	NaN
YAL051W	YGR020C	NaN
YAL051W	YEL051W	NaN
YAL051W	YNR006W	NaN
YAL051W	YER072W	NaN
YAL051W	YMR197C	NaN
YAL051W	YOR043W	NaN
YAL051W	YOR230W	NaN
YAL051W	YOR229W	NaN
YAL051W	YJL141C	NaN
YAL051W	YML007W	NaN
YAL051W	YAR035W	NaN
YAL051W	YER024W	NaN
YAL051W	YBR053C	NaN
YAL051W	YBR056W	NaN
YAL051W	YBR116C	NaN
